Phy_ID,sp_ID,Family,Subfamily,Tribe,Genus valid_imaged,Species valid_imaged,Scientific name valid_imaged,Number_of_host_families,PD,MPD,MNTD,DSI_MPD,DSI_MNTD
1,B_14352,Nymphalidae,Satyrinae,Satyrini,Euptychia,mollina,Euptychia mollina,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
2,B_15867,Nymphalidae,Satyrinae,Satyrini,Taygetis,virgilia,Taygetis virgilia,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
3,B_14117,Nymphalidae,Satyrinae,Satyrini,Corades,medeba,Corades medeba,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
4,B_14959,Nymphalidae,Satyrinae,Satyrini,Manerebia,cyclopina,Manerebia cyclopina,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
5,B_13970,Nymphalidae,Satyrinae,Satyrini,Calisto,obscura,Calisto obscura,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
6,B_15919,Nymphalidae,Satyrinae,Satyrini,Ypthima,baldus,Ypthima baldus,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
7,B_14235,Nymphalidae,Satyrinae,Satyrini,Erebia,ligea,Erebia ligea,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
8,B_14994,Nymphalidae,Satyrinae,Satyrini,Maniola,jurtina,Maniola jurtina,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
9,B_15011,Nymphalidae,Satyrinae,Satyrini,Melanargia,galathea,Melanargia galathea,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
10,B_15729,Nymphalidae,Satyrinae,Satyrini,Satyrus,ferula,Satyrus ferula,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
11,B_15265,Nymphalidae,Satyrinae,Satyrini,Oressinoma,typhla,Oressinoma typhla,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
12,B_14096,Nymphalidae,Satyrinae,Satyrini,Coenonympha,tullia,Coenonympha tullia,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
13,B_14759,Nymphalidae,Satyrinae,Satyrini,Lethe,mekara,Lethe mekara,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
14,B_15331,Nymphalidae,Satyrinae,Satyrini,Pararge,aegeria,Pararge aegeria,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
15,B_13840,Nymphalidae,Satyrinae,Satyrini,Bicyclus,denina,Bicyclus denina,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
16,B_15267,Nymphalidae,Satyrinae,Satyrini,Orsotriaena,medus,Orsotriaena medus,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
17,B_15702,Nymphalidae,Satyrinae,Satyrini,Ragadia,makuta,Ragadia makuta,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
18,B_13596,Nymphalidae,Satyrinae,Dirini,Aeropetes,tulbaghia,Aeropetes tulbaghia,2,418.872232,187.64298,187.64298,-1.155152917,-0.860297683
19,B_13726,Nymphalidae,Satyrinae,Melanitini,Melanitis,leda,Melanitis leda,2,418.872232,187.64298,187.64298,-1.155152917,-0.860297683
20,B_19431,Nymphalidae,Satyrinae,Elymniini,Morphopsis,albertisi,Morphopsis albertisi,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
21,B_13646,Nymphalidae,Satyrinae,Elymniini,Elymnias,hypermnestra,Elymnias hypermnestra,1,325.050732,95.4795,95.4795,-2.000430702,-1.639949991
22,B_12927,Nymphalidae,Satyrinae,Amathusiini,Zeuxidia,doubledaii,Zeuxidia doubledaii,1,325.050972,51.8437,51.8437,-2.303016405,-2.036770203
23,B_13696,Nymphalidae,Satyrinae,Haeterini,Haetera,piera,Haetera piera,1,325.050282,99.1432,99.1432,-2.08219519,-1.62615957
24,B_13057,Nymphalidae,Satyrinae,Morphini,Morpho,helenor,Morpho helenor,6,860.515947,223.0226173,207.8705398,-0.917543721,-0.898590093
25,B_12945,Nymphalidae,Satyrinae,Brassolini,Brassolis,sophorae,Brassolis sophorae,1,325.050282,99.1432,99.1432,-2.08219519,-1.62615957
26,B_10464,Nymphalidae,Charaxinae,Prothoini,Prothoe,franckii,Prothoe franckii,1,325.05054,142.4068,142.4068,-1.222403248,-1.594470017
27,B_10231,Nymphalidae,Charaxinae,Charaxini,Charaxes,brutus,Charaxes brutus,3,523.245732,207.26412,189.1250433,-0.78323401,-1.401535075
28,B_10434,Nymphalidae,Charaxinae,Pallaini,Palla,ussheri,Palla ussheri,3,567.363839,243.7468787,240.1669363,-0.371596422,-0.139384881
29,B_10452,Nymphalidae,Charaxinae,Preponini,Prepona,dexamenus,Prepona dexamenus,2,427.658378,205.215547,205.215547,-0.725519741,-0.766403328
30,,Nymphalidae,Charaxinae,Anaeomorphini,Anaeomorpha,splendida,Anaeomorpha splendida,NA,NA,NA,NA,NA,NA
31,B_10097,Nymphalidae,Charaxinae,Anaeini,Consul,electra,Consul electra,1.5,382.943768,178.392873,178.392873,-0.934311217,-0.8862521
32,B_10081,Nymphalidae,Calinaginae,,Calinaga,buddha,Calinaga buddha,1,325.050862,84.9278,84.9278,-1.656879167,-2.994635875
33,B_13153,Nymphalidae,Nymphalinae,Junoniini,Junonia,natalica,Junonia natalica,2,460.808532,266.35092,266.35092,-0.043765055,0.053718331
34,B_13088,Nymphalidae,Nymphalinae,Victorini,Anartia,fatima,Anartia fatima,2,372.321322,136.87521,136.87521,-1.454374437,-1.455841338
35,B_13371,Nymphalidae,Nymphalinae,Melanitini,Melitaea,didyma,Melitaea didyma,2,418.872232,187.64298,187.64298,-1.155152917,-0.860297683
36,B_13172,Nymphalidae,Nymphalinae,Kallimini,Kallima,inachus,Kallima inachus,1,325.049922,69.4758,69.4758,-1.866533435,-4.04570489
37,B_13522,Nymphalidae,Nymphalinae,Nymphalini,Nymphalis,xanthomelas,Nymphalis xanthomelas,2,398.519362,146.93824,146.93824,-1.382803882,-1.768397783
38,B_13082,Nymphalidae,Nymphalinae,Coeini,Pycina,zamba,Pycina zamba,2,443.629315,237.158323,237.158323,-0.337902802,-0.323132869
39,B_13081,Nymphalidae,Nymphalinae,Coeini,Historis,odius,Historis odius,2,443.629315,237.158323,237.158323,-0.337902802,-0.323132869
40,B_10489,Nymphalidae,Cyrestinae,,Cyrestis,nivea,Cyrestis nivea,1,325.050862,84.9278,84.9278,-1.656879167,-2.994635875
41,B_9903,Nymphalidae,Biblidinae,Epiphilini,Epiphile,adrasta,Epiphile adrasta,2,443.629774,237.158082,237.158082,-0.26265011,-0.359707501
